dataset,tracker,video,frame,inference_time[ms],confidence,class_index,x1,y1,x2,y2
test,yolov8,D03_20221008073118-00,0,11.927584186196327,0.9101038575172424,0.0,1228,202,1393,393
test,yolov8,D03_20221008073118-00,1,11.927584186196327,0.9107390642166138,0.0,1228,201,1394,393
test,yolov8,D03_20221008073118-00,2,11.927584186196327,0.9106532335281372,0.0,1229,202,1394,393
test,yolov8,D03_20221008073118-00,3,11.927584186196327,0.9094817042350769,0.0,1228,202,1393,393
test,yolov8,D03_20221008073118-00,4,11.927584186196327,0.9099509716033936,0.0,1228,202,1393,393
test,yolov8,D03_20221008073118-00,5,11.927584186196327,0.9105359315872192,0.0,1228,201,1394,393
test,yolov8,D03_20221008073118-00,6,11.927584186196327,0.9110422134399414,0.0,1229,201,1394,393
test,yolov8,D03_20221008073118-00,7,11.927584186196327,0.9104335308074951,0.0,1228,202,1393,393
test,yolov8,D03_20221008073118-00,8,11.927584186196327,0.9103646278381348,0.0,1228,201,1394,393
test,yolov8,D03_20221008073118-00,9,11.927584186196327,0.9103460907936096,0.0,1228,202,1393,393
test,yolov8,D03_20221008073118-00,10,11.927584186196327,0.9103418588638306,0.0,1229,202,1393,392
test,yolov8,D03_20221008073118-00,11,11.927584186196327,0.9104821085929871,0.0,1228,201,1394,393
test,yolov8,D03_20221008073118-00,12,11.927584186196327,0.9099609851837158,0.0,1229,201,1394,393
test,yolov8,D03_20221008073118-00,13,11.927584186196327,0.911046028137207,0.0,1229,201,1394,393
test,yolov8,D03_20221008073118-00,14,11.927584186196327,0.909462571144104,0.0,1228,202,1393,393
test,yolov8,D03_20221008073118-00,15,11.927584186196327,0.909226655960083,0.0,1228,202,1393,393
test,yolov8,D03_20221008073118-00,16,11.927584186196327,0.9104224443435669,0.0,1229,202,1393,392
test,yolov8,D03_20221008073118-00,17,11.927584186196327,0.9108201265335083,0.0,1229,201,1394,393
test,yolov8,D03_20221008073118-00,18,11.927584186196327,0.9098759889602661,0.0,1229,201,1393,392
test,yolov8,D03_20221008073118-00,19,11.927584186196327,0.9103028178215027,0.0,1229,201,1394,392
test,yolov8,D03_20221008073118-00,20,11.927584186196327,0.9103183746337891,0.0,1229,201,1393,392
test,yolov8,D03_20221008073118-00,21,11.927584186196327,0.9099222421646118,0.0,1229,201,1393,392
test,yolov8,D03_20221008073118-00,22,11.927584186196327,0.9102289080619812,0.0,1228,201,1393,392
test,yolov8,D03_20221008073118-00,23,11.927584186196327,0.9102047681808472,0.0,1228,201,1393,392
test,yolov8,D03_20221008073118-00,24,11.927584186196327,0.9101810455322266,0.0,1228,201,1393,391
test,yolov8,D03_20221008073118-00,25,11.927584186196327,0.9106084108352661,0.0,1229,201,1394,391
test,yolov8,D03_20221008073118-00,26,11.927584186196327,0.9106007218360901,0.0,1228,200,1393,392
test,yolov8,D03_20221008073118-00,27,11.927584186196327,0.9103589057922363,0.0,1228,201,1393,391
test,yolov8,D03_20221008073118-00,28,11.927584186196327,0.9105609655380249,0.0,1228,201,1393,391
test,yolov8,D03_20221008073118-00,29,11.927584186196327,0.9103785753250122,0.0,1229,200,1394,391
test,yolov8,D03_20221008073118-00,30,11.927584186196327,0.9104135036468506,0.0,1229,199,1394,392
test,yolov8,D03_20221008073118-00,31,11.927584186196327,0.9109388589859009,0.0,1228,200,1393,391
test,yolov8,D03_20221008073118-00,32,11.927584186196327,0.9105187058448792,0.0,1229,200,1394,391
test,yolov8,D03_20221008073118-00,33,11.927584186196327,0.9114922285079956,0.0,1229,200,1393,391
test,yolov8,D03_20221008073118-00,34,11.927584186196327,0.911385178565979,0.0,1228,200,1393,391
test,yolov8,D03_20221008073118-00,35,11.927584186196327,0.9115839600563049,0.0,1229,200,1393,391
test,yolov8,D03_20221008073118-00,36,11.927584186196327,0.9118186235427856,0.0,1228,200,1394,391
test,yolov8,D03_20221008073118-00,37,11.927584186196327,0.9123835563659668,0.0,1228,200,1394,391
test,yolov8,D03_20221008073118-00,38,11.927584186196327,0.9118534922599792,0.0,1228,200,1394,390
test,yolov8,D03_20221008073118-00,39,11.927584186196327,0.9117398262023926,0.0,1228,199,1394,391
test,yolov8,D03_20221008073118-00,40,11.927584186196327,0.9114372730255127,0.0,1228,200,1393,391
test,yolov8,D03_20221008073118-00,41,11.927584186196327,0.912533700466156,0.0,1228,199,1394,390
test,yolov8,D03_20221008073118-00,42,11.927584186196327,0.9115736484527588,0.0,1228,200,1393,390
test,yolov8,D03_20221008073118-00,43,11.927584186196327,0.9113708734512329,0.0,1228,201,1393,391
test,yolov8,D03_20221008073118-00,44,11.927584186196327,0.9119917154312134,0.0,1228,199,1394,391
test,yolov8,D03_20221008073118-00,45,11.927584186196327,0.9126518964767456,0.0,1228,199,1394,390
test,yolov8,D03_20221008073118-00,46,11.927584186196327,0.9118131995201111,0.0,1228,200,1393,390
test,yolov8,D03_20221008073118-00,47,11.927584186196327,0.910833477973938,0.0,1228,200,1393,390
test,yolov8,D03_20221008073118-00,48,11.927584186196327,0.9111800193786621,0.0,1228,200,1393,391
test,yolov8,D03_20221008073118-00,49,11.927584186196327,0.9123051166534424,0.0,1228,199,1394,390
test,yolov8,D03_20221008073118-00,50,11.927584186196327,0.9135010242462158,0.0,1227,199,1393,389
test,yolov8,D03_20221008073118-00,51,11.927584186196327,0.9133346080780029,0.0,1227,199,1394,389
test,yolov8,D03_20221008073118-00,52,11.927584186196327,0.9133856296539307,0.0,1227,198,1394,389
test,yolov8,D03_20221008073118-00,53,11.927584186196327,0.9133563041687012,0.0,1227,199,1394,389
test,yolov8,D03_20221008073118-00,54,11.927584186196327,0.9133304357528687,0.0,1227,198,1394,389
test,yolov8,D03_20221008073118-00,55,11.927584186196327,0.9132035970687866,0.0,1227,198,1393,389
test,yolov8,D03_20221008073118-00,56,11.927584186196327,0.9132075309753418,0.0,1227,199,1393,389
test,yolov8,D03_20221008073118-00,57,11.927584186196327,0.9134541153907776,0.0,1227,198,1394,389
test,yolov8,D03_20221008073118-00,58,11.927584186196327,0.913861870765686,0.0,1227,198,1394,389
test,yolov8,D03_20221008073118-00,59,11.927584186196327,0.913401186466217,0.0,1227,198,1394,389
test,yolov8,D03_20221008073118-00,60,11.927584186196327,0.9132620096206665,0.0,1227,199,1393,389
test,yolov8,D03_20221008073118-00,61,11.927584186196327,0.9124754667282104,0.0,1227,198,1393,389
test,yolov8,D03_20221008073118-00,62,11.927584186196327,0.9130477905273438,0.0,1227,199,1394,389
test,yolov8,D03_20221008073118-00,63,11.927584186196327,0.9129974842071533,0.0,1227,199,1394,389
test,yolov8,D03_20221008073118-00,64,11.927584186196327,0.913422703742981,0.0,1227,199,1394,389
test,yolov8,D03_20221008073118-00,65,11.927584186196327,0.9126863479614258,0.0,1227,199,1394,389
test,yolov8,D03_20221008073118-00,66,11.927584186196327,0.913237988948822,0.0,1227,198,1394,389
test,yolov8,D03_20221008073118-00,67,11.927584186196327,0.9131690859794617,0.0,1227,199,1394,389
test,yolov8,D03_20221008073118-00,68,11.927584186196327,0.91316819190979,0.0,1227,198,1394,389
test,yolov8,D03_20221008073118-00,69,11.927584186196327,0.914038896560669,0.0,1227,198,1394,389
test,yolov8,D03_20221008073118-00,70,11.927584186196327,0.9128034114837646,0.0,1227,198,1394,389
test,yolov8,D03_20221008073118-00,71,11.927584186196327,0.9123144149780273,0.0,1227,199,1393,389
test,yolov8,D03_20221008073118-00,72,11.927584186196327,0.9132430553436279,0.0,1227,198,1394,389
test,yolov8,D03_20221008073118-00,73,11.927584186196327,0.9128322601318359,0.0,1227,198,1394,389
test,yolov8,D03_20221008073118-00,74,11.927584186196327,0.9133262038230896,0.0,1226,198,1394,389
test,yolov8,D03_20221008073118-00,75,11.927584186196327,0.912794828414917,0.0,1227,198,1394,389
test,yolov8,D03_20221008073118-00,76,11.927584186196327,0.9128594398498535,0.0,1227,197,1395,389
test,yolov8,D03_20221008073118-00,77,11.927584186196327,0.9123111367225647,0.0,1226,198,1394,389
test,yolov8,D03_20221008073118-00,78,11.927584186196327,0.9123595952987671,0.0,1227,198,1394,389
test,yolov8,D03_20221008073118-00,79,11.927584186196327,0.9125107526779175,0.0,1227,199,1393,389
test,yolov8,D03_20221008073118-00,80,11.927584186196327,0.9131542444229126,0.0,1227,198,1393,389
test,yolov8,D03_20221008073118-00,81,11.927584186196327,0.9132249355316162,0.0,1226,198,1394,389
test,yolov8,D03_20221008073118-00,82,11.927584186196327,0.912826418876648,0.0,1227,199,1394,389
test,yolov8,D03_20221008073118-00,83,11.927584186196327,0.9126086235046387,0.0,1227,198,1393,389
test,yolov8,D03_20221008073118-00,84,11.927584186196327,0.9128596186637878,0.0,1226,198,1394,389
test,yolov8,D03_20221008073118-00,85,11.927584186196327,0.9120055437088013,0.0,1227,199,1393,388
test,yolov8,D03_20221008073118-00,86,11.927584186196327,0.9126419425010681,0.0,1227,198,1394,389
test,yolov8,D03_20221008073118-00,87,11.927584186196327,0.912861704826355,0.0,1227,198,1394,389
test,yolov8,D03_20221008073118-00,88,11.927584186196327,0.9128886461257935,0.0,1226,198,1394,389
test,yolov8,D03_20221008073118-00,89,11.927584186196327,0.9123218655586243,0.0,1227,199,1393,388
test,yolov8,D03_20221008073118-00,90,11.927584186196327,0.9129912257194519,0.0,1227,198,1393,389
test,yolov8,D03_20221008073118-00,91,11.927584186196327,0.9131937623023987,0.0,1226,198,1394,389
test,yolov8,D03_20221008073118-00,92,11.927584186196327,0.9139279127120972,0.0,1227,198,1394,389
test,yolov8,D03_20221008073118-00,93,11.927584186196327,0.9127829074859619,0.0,1226,198,1394,389
test,yolov8,D03_20221008073118-00,94,11.927584186196327,0.912970781326294,0.0,1226,198,1394,389
test,yolov8,D03_20221008073118-00,95,11.927584186196327,0.9131605625152588,0.0,1227,198,1394,389
test,yolov8,D03_20221008073118-00,96,11.927584186196327,0.9134000539779663,0.0,1226,197,1395,389
test,yolov8,D03_20221008073118-00,97,11.927584186196327,0.9128018617630005,0.0,1226,198,1394,389
test,yolov8,D03_20221008073118-00,98,11.927584186196327,0.9122768640518188,0.0,1226,197,1394,389
test,yolov8,D03_20221008073118-00,99,11.927584186196327,0.9137784838676453,0.0,1226,197,1395,389
test,yolov8,D03_20221008073118-00,100,11.927584186196327,0.9133305549621582,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,101,11.927584186196327,0.912527322769165,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,102,11.927584186196327,0.9124683141708374,0.0,1226,196,1395,389
test,yolov8,D03_20221008073118-00,103,11.927584186196327,0.913291871547699,0.0,1226,197,1394,388
test,yolov8,D03_20221008073118-00,104,11.927584186196327,0.9136514663696289,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,105,11.927584186196327,0.9135850071907043,0.0,1226,196,1396,389
test,yolov8,D03_20221008073118-00,106,11.927584186196327,0.9132092595100403,0.0,1226,196,1395,389
test,yolov8,D03_20221008073118-00,107,11.927584186196327,0.9136447310447693,0.0,1226,196,1395,388
test,yolov8,D03_20221008073118-00,108,11.927584186196327,0.9125821590423584,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,109,11.927584186196327,0.9138577580451965,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,110,11.927584186196327,0.9132059812545776,0.0,1227,197,1395,388
test,yolov8,D03_20221008073118-00,111,11.927584186196327,0.9132657051086426,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,112,11.927584186196327,0.9132073521614075,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,113,11.927584186196327,0.9133938550949097,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,114,11.927584186196327,0.912287712097168,0.0,1227,198,1394,388
test,yolov8,D03_20221008073118-00,115,11.927584186196327,0.9121608734130859,0.0,1227,198,1394,388
test,yolov8,D03_20221008073118-00,116,11.927584186196327,0.9132165908813477,0.0,1226,197,1394,388
test,yolov8,D03_20221008073118-00,117,11.927584186196327,0.9127654433250427,0.0,1227,197,1394,388
test,yolov8,D03_20221008073118-00,118,11.927584186196327,0.9132082462310791,0.0,1227,197,1394,388
test,yolov8,D03_20221008073118-00,119,11.927584186196327,0.9128729701042175,0.0,1227,198,1394,388
test,yolov8,D03_20221008073118-00,120,11.927584186196327,0.9140206575393677,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,121,11.927584186196327,0.9136799573898315,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,122,11.927584186196327,0.9132644534111023,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,123,11.927584186196327,0.9130585193634033,0.0,1226,198,1394,388
test,yolov8,D03_20221008073118-00,124,11.927584186196327,0.9126533269882202,0.0,1226,198,1394,388
test,yolov8,D03_20221008073118-00,125,11.927584186196327,0.9130553007125854,0.0,1227,198,1394,388
test,yolov8,D03_20221008073118-00,126,11.927584186196327,0.9137988686561584,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,127,11.927584186196327,0.9132668972015381,0.0,1226,196,1395,388
test,yolov8,D03_20221008073118-00,128,11.258309707045555,0.9124683141708374,0.0,1226,196,1395,389
test,yolov8,D03_20221008073118-00,129,11.258309707045555,0.913291871547699,0.0,1226,197,1394,388
test,yolov8,D03_20221008073118-00,130,11.258309707045555,0.9136514663696289,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,131,11.258309707045555,0.9135850071907043,0.0,1226,196,1396,389
test,yolov8,D03_20221008073118-00,132,11.258309707045555,0.9132092595100403,0.0,1226,196,1395,389
test,yolov8,D03_20221008073118-00,133,11.258309707045555,0.9136447310447693,0.0,1226,196,1395,388
test,yolov8,D03_20221008073118-00,134,11.258309707045555,0.9125821590423584,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,135,11.258309707045555,0.9138577580451965,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,136,11.258309707045555,0.9132059812545776,0.0,1227,197,1395,388
test,yolov8,D03_20221008073118-00,137,11.258309707045555,0.9132657051086426,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,138,11.258309707045555,0.9132073521614075,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,139,11.258309707045555,0.9133938550949097,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,140,11.258309707045555,0.912287712097168,0.0,1227,198,1394,388
test,yolov8,D03_20221008073118-00,141,11.258309707045555,0.9121608734130859,0.0,1227,198,1394,388
test,yolov8,D03_20221008073118-00,142,11.258309707045555,0.9132165908813477,0.0,1226,197,1394,388
test,yolov8,D03_20221008073118-00,143,11.258309707045555,0.9127654433250427,0.0,1227,197,1394,388
test,yolov8,D03_20221008073118-00,144,11.258309707045555,0.9132082462310791,0.0,1227,197,1394,388
test,yolov8,D03_20221008073118-00,145,11.258309707045555,0.9128729701042175,0.0,1227,198,1394,388
test,yolov8,D03_20221008073118-00,146,11.258309707045555,0.9140206575393677,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,147,11.258309707045555,0.9136799573898315,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,148,11.258309707045555,0.9132644534111023,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,149,11.258309707045555,0.9130585193634033,0.0,1226,198,1394,388
test,yolov8,D03_20221008073118-00,150,11.258309707045555,0.9126533269882202,0.0,1226,198,1394,388
test,yolov8,D03_20221008073118-00,151,11.258309707045555,0.9130553007125854,0.0,1227,198,1394,388
test,yolov8,D03_20221008073118-00,152,11.258309707045555,0.9137988686561584,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,153,11.258309707045555,0.9132668972015381,0.0,1226,196,1395,388
test,yolov8,D03_20221008073118-00,154,11.258309707045555,0.9130792617797852,0.0,1226,197,1394,388
test,yolov8,D03_20221008073118-00,155,11.258309707045555,0.9136030673980713,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,156,11.258309707045555,0.9125851988792419,0.0,1227,197,1394,388
test,yolov8,D03_20221008073118-00,157,11.258309707045555,0.9137300848960876,0.0,1227,197,1395,388
test,yolov8,D03_20221008073118-00,158,11.258309707045555,0.9141157865524292,0.0,1227,196,1396,389
test,yolov8,D03_20221008073118-00,159,11.258309707045555,0.9132248163223267,0.0,1227,197,1395,388
test,yolov8,D03_20221008073118-00,160,11.258309707045555,0.9145791530609131,0.0,1227,197,1395,388
test,yolov8,D03_20221008073118-00,161,11.258309707045555,0.9124075174331665,0.0,1227,197,1394,388
test,yolov8,D03_20221008073118-00,162,11.258309707045555,0.9120693802833557,0.0,1227,197,1394,388
test,yolov8,D03_20221008073118-00,163,11.258309707045555,0.9134345054626465,0.0,1226,197,1395,388
test,yolov8,D03_20221008073118-00,164,11.258309707045555,0.91325843334198,0.0,1227,197,1395,388
test,yolov8,D03_20221008073118-00,165,11.258309707045555,0.9134845733642578,0.0,1226,196,1395,388
test,yolov8,D03_20221008073118-00,166,11.258309707045555,0.9138778448104858,0.0,1227,196,1395,388
test,yolov8,D03_20221008073118-00,167,11.258309707045555,0.913189709186554,0.0,1227,196,1395,388
test,yolov8,D03_20221008073118-00,168,11.258309707045555,0.914068341255188,0.0,1227,196,1396,388
test,yolov8,D03_20221008073118-00,169,11.258309707045555,0.9141833782196045,0.0,1227,196,1396,389
test,yolov8,D03_20221008073118-00,170,11.258309707045555,0.9142005443572998,0.0,1226,196,1396,388
test,yolov8,D03_20221008073118-00,171,11.258309707045555,0.9135098457336426,0.0,1226,196,1396,388
test,yolov8,D03_20221008073118-00,172,11.258309707045555,0.9131485223770142,0.0,1226,196,1395,388
test,yolov8,D03_20221008073118-00,173,11.258309707045555,0.914031445980072,0.0,1226,196,1396,388
test,yolov8,D03_20221008073118-00,174,11.258309707045555,0.914196789264679,0.0,1226,197,1395,388
