dataset,tracker,video,frame,inference_time[ms],confidence,class_index,x1,y1,x2,y2
test,yolov8,D03_20221108195844-00,0,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,1,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,2,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,3,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,4,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,5,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,6,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,7,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,8,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,9,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,10,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,11,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,12,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,13,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,14,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,15,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,16,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,17,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,18,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,19,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,20,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,21,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,22,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,23,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,24,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,25,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,26,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,27,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,28,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,29,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,30,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,31,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,32,,,,1205,438,1413,635
test,yolov8,D03_20221108195844-00,33,,,,1205,438,1413,635
