dataset,tracker,video,frame,inference_time[ms],confidence,class_index,x1,y1,x2,y2
test,yolov8,D03_20221006170333-01,0,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,1,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,2,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,3,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,4,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,5,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,6,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,7,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,8,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,9,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,10,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,11,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,12,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,13,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,14,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,15,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,16,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,17,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,18,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,19,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,20,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,21,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,22,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,23,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,24,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,25,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,26,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,27,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,28,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,29,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,30,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,31,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,32,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,33,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,34,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,35,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,36,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,37,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,38,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,39,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,40,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,41,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,42,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,43,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,44,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,45,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,46,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,47,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,48,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,49,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,50,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,51,,,,1261,74,1397,262
test,yolov8,D03_20221006170333-01,52,,,,1261,74,1397,262
